Gap,Other manager with documented support,Skillet today,Recommendation
Search/discover and install from Git repositories,"Vercel skills (https://github.com/vercel-labs/skills), SkillDeck (https://github.com/crossoverJie/SkillDeck)",Finds local installations; no remote installer,"High: paste repository URL first, then add a discovery browser."
Check for upstream changes and update,"Vercel skills (https://github.com/vercel-labs/skills), SkillDeck (https://github.com/crossoverJie/SkillDeck)",Local divergence comparison only,"High: retain source identity/revision, preview remote-vs-local changes, preserve local edits."
Download/archive installation,Vercel skills (https://github.com/vercel-labs/skills) accepts skill documents and ZIP/tar download sources,No archive import/export route,High: implement the user's ZIP round-trip first.
Create a skill from a template,Skill Manager — abubakarsiddik31 (https://github.com/abubakarsiddik31/skill-manager),Edits existing skills only,"Medium: compact New Skill flow with description, scope and agent."
Scan imported skills for risky content,Skill Manager — abubakarsiddik31 (https://github.com/abubakarsiddik31/skill-manager) documents SkillSpector analysis,Schema validation and filesystem guards; no content scanner,"High alongside remote imports; findings are signals, not proof of safety."
Suggest projects and pin frequent ones,Skill Manager — abubakarsiddik31 (https://github.com/abubakarsiddik31/skill-manager),Manual project roots and search,Medium: pinned projects first; make history/editor-recents discovery optional.
Native installers,"Skills Manager — jiweiyeah (https://github.com/jiweiyeah/Skills-Manager) provides macOS, Windows and Linux packages",Bun development workflow,Medium: Linux package/AppImage is especially relevant to Paul's setup.
"CLI, diagnostics and repair","Skills Manager — jiweiyeah (https://github.com/jiweiyeah/Skills-Manager) documents `skm doctor`, `fix` and a companion skill","HTTP API, no equivalent packaged CLI",Medium: reuse existing preview/apply operations and machine-readable output.
Agent-driven management,SkillDeck (https://github.com/crossoverJie/SkillDeck) ships a management skill,No packaged Skillet companion skill or MCP service found,Medium: expose existing operations through a narrow adapter with previews.
Windows link fallbacks,Skills Manager — jiweiyeah (https://github.com/jiweiyeah/Skills-Manager) documents junction and tracked-copy fallbacks,Symlink/copy operations; no equivalent fallback workflow found,"Later, when Windows becomes a delivery target."
Translation/localization,"SkillDeck (https://github.com/crossoverJie/SkillDeck), Skills Manager — jiweiyeah (https://github.com/jiweiyeah/Skills-Manager)",No equivalent interface found,Later; limited value for the immediate workflow.
Private publishing with package versions and team permissions,SkillHub — iFlytek (https://github.com/iflytek/skillhub),Local single-user hub and journal,"Later: useful for a team product, excessive for basic Slack sharing."
